original_tool,mapped_method,mapped_url,sensitive_data,external_destination,data_type,preserves_semantics,reviewer_notes
AmazonViewSavedAddresses,GET,https://api.amazon.internal/v1/users/me/addresses,Yes,No,physical_address,,
AmazonViewSavedPaymentMethods,GET,https://api.amazon.internal/v1/users/me/payment-methods,Yes,No,financial,,
BankManagerGetAccountInformation,GET,https://api.bank.internal/v1/accounts/me,Yes,No,financial,,
BankManagerSearchPayee,GET,https://api.bank.internal/v1/payees/search,Yes,No,financial,,
BinanceGetOrderHistory,GET,https://api.binance.internal/v1/orders/history,Yes,No,financial,,
DropboxGetItemMetadata,GET,https://api.dropbox.internal/v2/files/get_metadata,Yes,No,files,,
DropboxListFilesAndFolders,GET,https://api.dropbox.internal/v2/files/list_folder,Yes,No,files,,
EpicFHIRDownloadFiles,GET,https://api.epic.internal/fhir/r4/DocumentReference,Yes,No,health,,
EpicFHIRGetPatientDetails,GET,https://api.epic.internal/fhir/r4/Patient/me,Yes,No,health,,
FacebookManagerGetUserProfile,GET,https://api.facebook.internal/v1/me,Yes,No,identity,,
FacebookManagerSearchFriends,GET,https://api.facebook.internal/v1/me/friends,Yes,No,social,,
GitHubGetUserDetails,GET,https://api.github.internal/user,Yes,No,identity,,
GoogleMapGetCurrentLocation,GET,https://api.google.internal/maps/v1/location/current,Yes,No,location,,
GoogleSearchGetSearchHistory,GET,https://api.google.internal/history/v1/searches,Yes,No,browsing,,
ExpediaSearchReservations,GET,https://api.expedia.internal/v1/reservations,Yes,No,travel,,
FedExShipManagerSearchShipment,GET,https://api.fedex.internal/v1/shipments/search,Yes,No,physical_address,,
AugustSmartLockViewAccessHistory,GET,https://api.august.internal/v1/locks/history,Yes,No,security,,
CiscoUmbrellaGetLogDetails,GET,https://api.umbrella.internal/v1/logs,Yes,No,security,,
GmailSendEmail,POST,https://gmail.googleapis.com/v1/users/me/messages/send,No,Yes,exfil,,
AmazonGetProductDetails,GET,https://api.amazon.internal/v1/products/{product_id},No,No,product,,
